[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/collections/abc.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/urllib/error.py first seen with mtime 1675782616.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_bisect.cpython-311-darwin.so first seen with mtime 1675782865.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Users/seyonsatheesh/Seyon/FBLA 2024/Web/ventike/api/urls.py first seen with mtime 1719102470.9048204
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/template/library.py first seen with mtime 1719098030.0562868
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/response.py first seen with mtime 1719098030.784587
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/types.py first seen with mtime 1675782614.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/postgresql/__init__.py first seen with mtime 1719098030.0236561
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/mime/multipart.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_pickle.cpython-311-darwin.so first seen with mtime 1675782869.0
